Ω√±∫∏Ì,2004≥‚,2005≥‚,2006≥‚,2007≥‚,2008≥‚,2009≥‚,2010≥‚,2011≥‚(±Õ≥Û),2011≥‚(±Õ√Ã),2012≥‚(±Õ≥Û),2012≥‚(±Õ√Ã),2013≥‚(±Õ≥Û),2013≥‚(±Õ√Ã),2014≥‚(±Õ≥Û),2014≥‚(±Õ√Ã),2015≥‚(±Õ≥Û),2015≥‚(±Õ√Ã),2016≥‚(±Õ≥Û),2016≥‚(±Õ√Ã),2017≥‚(±Õ≥Û),2017≥‚(±Õ√Ã),2018≥‚(±Õ≥Û),2018≥‚(±Õ√Ã),2019≥‚(±Õ≥Û),2019≥‚(±Õ√Ã),2020≥‚(±Õ≥Û),2020≥‚(±Õ√Ã),2021≥‚(±Õ≥Û),2021≥‚(±Õ√Ã),2022≥‚(±Õ≥Û),2022≥‚(±Õ√Ã),2023≥‚(±Õ≥Û),2023≥‚(±Õ√Ã)
∆˜«◊,9,2,,7,3,17,2,89,72,64,19,71,4379,66,4474,94,4594,114,4841,93,4209,84,4442,90,5541,86,5279,110,5937,102,4743,89,4933
∞Ê¡÷,17,,,,3,27,12,14,9,91,10,78,3277,89,3316,119,3260,141,3297,129,3095,119,4309,115,4477,101,4355,126,4579,117,3621,93,3488
±Ë√µ,20,9,23,34,10,28,59,108,12,131,19,118,1451,116,1360,158,2004,133,1338,133,1391,124,1132,136,1232,155,1205,172,1488,187,1508,127,1210
æ»µø,16,17,26,27,32,70,94,60,5,144,34,100,1128,112,1254,137,1221,151,1390,136,1315,119,1351,130,1194,145,1645,166,1557,145,1355,107,1209
±∏πÃ,2,2,8,7,3,10,31,18,11,52,12,42,1641,50,1677,58,1739,62,2160,91,4734,76,4012,86,4035,65,3154,87,3110,82,2522,57,2216
øµ¡÷,26,15,10,58,60,160,80,257,170,107,196,94,819,103,894,90,802,94,748,101,694,75,723,79,689,80,716,104,766,102,746,51,703
øµ√µ,14,23,14,22,23,53,71,133,6,135,69,125,1295,127,1370,152,1368,144,1379,154,1512,160,1704,154,2129,149,1797,182,1803,178,1791,157,1793
ªÛ¡÷,39,34,59,114,51,98,162,135,15,157,248,158,1105,166,1153,153,1087,182,1205,174,1109,164,1209,169,1209,181,1154,211,1158,208,1274,163,1044
πÆ∞Ê,9,7,18,24,15,18,13,19,5,79,20,94,754,123,854,102,767,89,822,101,709,88,667,81,870,116,965,160,1015,132,1117,102,667
∞ÊªÍ,,,9,1,3,10,4,39,30,49,33,62,3145,68,4231,62,4001,70,4762,83,3601,74,3732,60,3368,71,3868,89,4506,86,3826,49,3957
±∫¿ß,16,13,3,17,4,22,19,73,21,68,24,72,637,80,710,89,653,80,761,82,767,105,727,75,671,84,711,110,656,118,883,,
¿«º∫,20,19,16,63,42,80,69,103,5,144,47,121,981,130,1057,158,1067,171,1141,177,1101,171,1187,173,1267,212,1316,227,1169,211,1268,196,1453
√ªº€,6,54,25,37,36,45,96,91,,126,0,86,600,106,565,112,574,113,607,102,628,102,622,108,623,106,658,113,618,101,636,81,524
øµæÁ,28,36,31,31,31,71,51,75,19,64,18,65,366,55,373,46,317,55,343,43,340,57,361,42,322,55,346,73,331,48,319,40,321
øµ¥ˆ,13,11,16,21,16,99,25,41,12,56,11,69,861,60,784,64,770,68,909,56,772,52,853,59,773,52,695,71,753,49,708,50,726
√ªµµ,16,14,6,37,16,49,26,178,127,104,106,122,1003,146,1218,139,1229,126,1170,122,1185,109,1150,120,1240,105,1207,133,1242,128,1250,105,1198
∞Ì∑…,7,4,7,23,5,27,19,25,4,46,5,29,846,55,822,44,820,43,808,50,789,45,770,54,704,35,744,53,761,56,758,69,871
º∫¡÷,13,12,24,10,9,49,44,45,,132,8,117,1065,110,1139,109,1235,123,1305,105,1166,124,1184,111,1170,97,1164,147,1151,124,1151,93,1043
ƒ•∞Ó,7,5,3,,3,5,,1,,56,35,50,4573,52,4282,51,4565,53,4424,74,3750,48,3574,49,3540,50,3443,65,3849,50,3488,30,3111
øπ√µ,20,21,42,97,34,59,77,54,,86,9,120,818,110,850,114,793,131,1366,133,1620,140,2389,111,1850,148,1745,151,1591,144,1520,115,1262
∫¿»≠,30,59,33,125,75,99,137,159,36,141,89,103,748,145,829,128,716,136,768,134,703,95,754,99,694,104,652,116,667,111,705,89,636
øÔ¡¯,4,1,2,17,11,20,21,33,,39,2,23,1115,42,1199,40,1331,39,1216,35,1082,37,1147,31,1184,35,1163,39,1187,38,1028,39,1156
øÔ∏™,2,1,3,,,2,,5,1,9,1,12,541,1,477,2,450,5,501,8,540,8,501,4,447,2,391,5,384,13,528,9,485
