"행정구역별","항목",2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023
"행정구역별","항목",계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상
"전국","귀농가구원수 (명)",17856,4233,2613,5729,4199,1082,16181,3413,2167,5377,4185,1039,17447,3699,2210,5403,4925,1210,19776,3842,2295,5890,6299,1450,16906,3009,1895,4888,5747,1367,13680,2449,1448,4034,4655,1094
"전국","귀농인수 (명)",12055,1365,2028,4502,3403,757,11504,1212,1752,4291,3490,759,12570,1370,1791,4402,4084,923,14461,1522,1858,4772,5203,1106,12660,1195,1568,4025,4828,1044,10540,1142,1229,3356,3940,873
"전국","동반가구원수 (명)",5801,2868,585,1227,796,325,4677,2201,415,1086,695,280,4877,2329,419,1001,841,287,5315,2320,437,1118,1096,344,4246,1814,327,863,919,323,3140,1307,219,678,715,221
"부산광역시","귀농가구원수 (명)",36,8,9,8,7,4,20,5,0,7,4,4,65,24,7,18,8,8,43,15,7,9,11,X,35,5,7,8,11,4,46,7,6,20,11,X
"부산광역시","귀농인수 (명)",25,X,6,7,6,X,18,4,0,7,4,X,35,7,6,14,6,X,26,X,5,9,9,X,24,0,7,7,9,X,36,X,6,19,8,X
"부산광역시","동반가구원수 (명)",11,5,X,X,X,X,X,X,0,0,0,X,30,17,X,4,X,6,17,13,X,0,X,0,11,5,0,X,X,X,10,6,0,X,X,0
"기장군","귀농가구원수 (명)",36,8,9,8,7,4,20,5,0,7,4,4,65,24,7,18,8,8,43,15,7,9,11,X,35,5,7,8,11,4,46,7,6,20,11,X
"기장군","귀농인수 (명)",25,X,6,7,6,X,18,4,0,7,4,X,35,7,6,14,6,X,26,X,5,9,9,X,24,0,7,7,9,X,36,X,6,19,8,X
"기장군","동반가구원수 (명)",11,5,X,X,X,X,X,X,0,0,0,X,30,17,X,4,X,6,17,13,X,0,X,0,11,5,0,X,X,X,10,6,0,X,X,0
