단지명,회사명,대표자명,전화번호,공장대표주소,데이터기준일
외답농공단지,한경프루베(주),한승두,054-534-8611,경상북도 상주시 외답6길 25-12 (외답동),2021-10-14
외답농공단지,(주)두리코씨앤티,김주완,054-534-8385,경상북도 상주시 외답6길 33 (외답동),2021-10-14
외답농공단지,(주)탑앤탑스글로브,김진철,054-532-9789,경상북도 상주시 외답6길 27 (외답동),2021-10-14
외답농공단지,(주)해광식품,장진호,054-531-3037,경상북도 상주시 외답6길 25-10 (헌신동),2021-10-14
외답농공단지,(주)영남엔지니어링,류병기,054-534-8005,경상북도 상주시 헌신공단길 28 (헌신동),2021-10-14
외답농공단지,해청기계,최상영,054-532-3887,경상북도 상주시 헌신공단길 6 (헌신동),2021-10-14
외답농공단지,(주)하이드로다이나믹스,최희경,054-532-3889,경상북도 상주시 헌신공단길 6 (헌신동),2021-10-14
외답농공단지,칠성섬유(주)상주지점,주인태/주수일,054-534-9702,경상북도 상주시 헌신공단길 73 (헌신동),2021-10-14
외답농공단지,(주)피앤티디,박종한,054-534-4534,경상북도 상주시 헌신공단길 41 (헌신동),2021-10-14
외답농공단지,(주)대성레미콘,김명수,054-531-2021,경상북도 상주시 헌신공단길 42 (헌신동) 외 1 필지,2021-10-14
외답농공단지,대흥레미콘(주),박임석,054-534-5021,경상북도 상주시 헌신공단길 50 (헌신동)  외 2 필지,2021-10-14
외답농공단지,(주)유림실업,김상수,054-531-9885,경상북도 상주시 헌신공단길 68 (헌신동),2021-10-14
외답농공단지,농업회사법인 풍년(주),박철홍,054-534-7077,경상북도 상주시 헌신공단길 82 (헌신동),2021-10-14
외답농공단지,(주)덕산지에스,박문수,054-531-9633,경상북도 상주시 헌신공단길 81 (헌신동),2021-10-14
외답농공단지,영진피이티(주),"서선동,최석훈",054-531-9097,경상북도 상주시 헌신공단길 38 (헌신동),2021-10-14
외답농공단지,주식회사 그린테크원,김종기,054-531-0941,경상북도 상주시 헌신공단길 12 (헌신동),2021-10-14
외답농공단지,영남전기 주식회사,고명자,054-533-3525,경상북도 상주시 헌신공단길 11 (헌신동)  외 1 필지,2021-10-14
외답농공단지,진성케미칼,손동익,054-531-2010,경상북도 상주시 헌신공단길 15-6 (헌신동),2021-10-14
외답농공단지,신한철강㈜,김남권,054-531-0320,경상북도 상주시 헌신공단길 47 (헌신동),2021-10-14
외답농공단지,(주)정원랜드,이은주,054-533-1509,경상북도 상주시 헌신공단길 68 (헌신동),2021-10-14
외답농공단지,㈜정원애,박세경,054-534-5890,경상북도 상주시 헌신공단길 68 (헌신동),2021-10-14
외답농공단지,에이앤피㈜,안병구,054-531-0133,경상북도 상주시 외답6길 9(외답동),2021-10-14
외답농공단지,㈜한남씨엠에스,조범진,054-541-2104,경상북도 상주시 외답6길 33 (외답동),2021-10-14
외답농공단지,㈜한승,한승대,054-533-8611,경상북도 상주시 헌신공단길 15-6 (헌신동),2021-10-14
외답농공단지,㈜디에스이,박재덕,054-531-1741,경상북도 상주시 외답6길 19(외답동),2021-10-14
함창농공단지,(주)남우직물,신종현,054-541-3265,경상북도 상주시 함창읍 영동길 9-29,2021-10-14
함창농공단지,(주)대평,김경재,054-541-9001,경상북도 상주시 함창읍 영동길 39-9,2021-10-14
함창농공단지,(주)톡프루트,신봉길,054-541-4221,경상북도 상주시 함창읍 영동길 9-28,2021-10-14
함창농공단지,대흥수지,조현식,054-541-8947,경상북도 상주시 함창읍 영동길 9-19,2021-10-14
함창농공단지,덕산콘크리트(주),유영선,054-541-5223,경상북도 상주시 함창읍 영동길 9-16  외 3 필지,2021-10-14
함창농공단지,백두케미칼,송재호,054-541-1080,경상북도 상주시 함창읍 영동길 9-32,2021-10-14
함창농공단지,범성. 팩,김재곤,054-541-4833,경상북도 상주시 함창읍 영동길 9-9,2021-10-14
함창농공단지,에코리버,김민지,054-541-8729,경상북도 상주시 함창읍 영동길 9-33,2021-10-14
함창농공단지,엠디엠(주),김용근,054-541-5121,경상북도 상주시 함창읍 영동길 9-28,2021-10-14
함창농공단지,(주)덕인엔터프라이즈,김상희,054-541-4833,경상북도 상주시 함창읍 영동길 9-9,2021-10-14
함창농공단지,한라식품,이재한,054-541-5112,경상북도 상주시 함창읍 영동길 9-15,2021-10-14
함창제2농공단지,(주)비엘에프씨,김도백,054-541-7257,경상북도 상주시 함창읍 오동리 841번지,2021-10-14
함창제2농공단지,(주)알루코스,김태원,054-535-5182,경상북도 상주시 함창읍 오동리 845번지,2021-10-14
함창제2농공단지,(주)예스코리아,이성진,054-541-5460,경상북도 상주시 함창읍 영동길 9-76,2021-10-14
함창제2농공단지,(주)턴투,김영훈,054-541-6711,경상북도 상주시 함창읍 오동리 847번지,2021-10-14
함창제2농공단지,드림푸드,김재영,054-541-2600,경상북도 상주시 함창읍 오동리 846번지,2021-10-14
함창제2농공단지,한미래식품,정석동,054-541-5200,경상북도 상주시 함창읍 오동리 842번지,2021-10-14
함창제2농공단지,한백철강,변성철,054-541-4080,경상북도 상주시 함창읍 오동리 849번지 외 1필지,2021-10-14
함창제2농공단지,㈜건일산업,남기호,054-541-0486,경상북도 상주시 함창읍 오동리 857번지,2021-10-14
함창제2농공단지,(주)케이아이피씨엠,김한나,054-541-0486,경상북도 상주시 함창읍 영동길 39-51,2021-10-14
공성농공단지,(주)BG텍,양영모,054-534-1999,경상북도 상주시 공성면 평천공단길 7-32,2021-10-14
공성농공단지,(주)누리,김태수,054-532-5696,경상북도 상주시 공성면 평천공단길 7-14,2021-10-14
공성농공단지,(주)메쉬코리아,배복순,054-533-8323,경상북도 상주시 공성면 평천공단길 9-11,2021-10-14
공성농공단지,(주)지오콘,심차섭,054-534-0901,경상북도 상주시 공성면 평천공단길 15,2021-10-14
공성농공단지,㈜청고을,하상수,054-532-9941,경상북도 상주시 평천공단길 7-30,2021-10-14
공성농공단지,(주)케이티앤에프,김남철,054-534-4470,경상북도 상주시 공성면 평천공단길 23,2021-10-14
공성농공단지,(합)엠케어,박성용,054-534-9170,경상북도 상주시 공성면 평천공단길 37,2021-10-14
공성농공단지,케이투와이㈜,여환용,054-532-3083,경상북도 상주시 공성면 평천공단길 29-14 ,2021-10-14
공성농공단지,㈜비에스티/상주지점,윤복수,054-532-3083,경상북도 상주시 공성면 평천공단길 29-14 ,2021-10-14
공성농공단지,현대파이프(주),조선제,054-534-3614,경상북도 상주시 공성면 평천공단길 9-12  외 2 필지,2021-10-14
화동농공단지,(주)용궁일라이트,이수덕,054-531-9551,경상북도 상주시 화동면 신촌유계길 72-32,2021-10-14
화동농공단지,(주)은진이엔지,박비주,054-536-2787,경상북도 상주시 화동면 신촌유계길 72-4,2021-10-14
화동농공단지,(주)태원농산,임종기,054-531-2153,경상북도 상주시 화동면 신촌유계길 72-11,2021-10-14
화동농공단지,동명주물(주),양재화,054-536-2787,경상북도 상주시 화동면 신촌유계길 72-4,2021-10-14
화동농공단지,㈜일성탄소,김철희,054-533-4432,경상북도 상주시 화동면 신촌유계길 72-3,2021-10-14
화동농공단지,삼우산업(주),김현석,054-534-8261,경상북도 상주시 화동면 신촌유계길 72-21  외 1 필지,2021-10-14
화동농공단지,워터이지텍,김성경,054-533-8810,경상북도 상주시 화동면 신촌유계길 72-21,2021-10-14
화서농공단지,(주)대한폴리머,정택용,054-534-8165,경상북도 상주시 화서면 영남제일로 4287-38,2021-10-14
화서농공단지,(주)보은,김통년,054-531-0340,경상북도 상주시 화서면 영남제일로 4287-14,2021-10-14
화서농공단지,(주)세안,김태한,054-534-2538,경상북도 상주시 화서면 영남제일로 4287-11,2021-10-14
화서농공단지,중화레미콘(주),신후감,054-531-2101,경상북도 상주시 화서면 영남제일로 4287-24,2021-10-14
화서제2농공단지,㈜진성,조진우,070-500-8509,경상북도 상주시 화서면 상용리 713-1번지,2021-10-14
