±¸ºÐ, 2013³â ±Í³ó °¡±¸¿ø ¼ö , 2013³â ±ÍÃÌ °¡±¸¿ø ¼ö , 2014³â ±Í³ó °¡±¸¿ø ¼ö , 2014³â ±ÍÃÌ °¡±¸¿ø ¼ö , 2015³â ±Í³ó °¡±¸¿ø ¼ö , 2015³â ±ÍÃÌ °¡±¸¿ø ¼ö , 2016³â ±Í³ó °¡±¸¿ø ¼ö , 2016³â ±ÍÃÌ °¡±¸¿ø ¼ö , 2017³â ±Í³ó °¡±¸¿ø ¼ö, 2017³â ±ÍÃÌ °¡±¸¿ø ¼ö, 2018³â ±Í³ó °¡±¸¿ø ¼ö, 2018³â ±ÍÃÌ °¡±¸¿ø ¼ö, 2019³â ±Í³ó °¡±¸¿ø ¼ö, 2019³â ±ÍÃÌ °¡±¸¿ø ¼ö, 2020³â ±Í³ó °¡±¸¿ø ¼ö, 2020³â ±ÍÃÌ °¡±¸¿ø ¼ö, 2021³â ±Í³ó °¡±¸¿ø ¼ö, 2021³â ±ÍÃÌ °¡±¸¿ø ¼ö, 2022³â ±Í³ó °¡±¸¿ø ¼ö, 2022³â ±ÍÃÌ °¡±¸¿ø ¼ö, 2023³â ±Í³ó °¡±¸¿ø ¼ö, 2023³â ±ÍÃÌ °¡±¸¿ø ¼ö
Æ÷Ç×,110,6348,140,6619,172,6654,169,7255,146,5996,134,6390,140,8651,126,7473,171,7826,157,6187,130,6447
°æÁÖ,127,4531,150,4503,199,4509,202,4486,190,4146,189,6551,191,6783,152,6181,178,6516,143,4724,121,4428
±èÃµ,197,1909,192,1866,267,2644,223,1777,202,1819,178,1411,219,1543,238,1501,263,1962,266,2022,173,1476
¾Èµ¿,166,1461,185,1631,229,1536,217,1863,189,1664,164,1666,171,1438,220,2056,214,1861,189,1585,128,1381
±¸¹Ì,90,2441,93,2496,114,2649,118,3616,168,9739,125,7466,128,6718,92,4973,131,5050,125,3729,72,3173
¿µÁÖ,175,1061,178,1178,154,1074,180,989,156,886,127,914,104,863,120,920,145,971,148,875,68,840
¿µÃµ,215,1710,221,1829,262,1815,206,1861,225,1964,215,2113,213,2580,189,2188,224,2187,221,2167,188,2110
»óÁÖ,278,1403,303,1439,269,1411,302,1590,269,1429,223,1505,232,1503,268,1440,282,1445,280,1568,205,1253
¹®°æ,168,946,202,1083,166,988,133,1004,164,891,133,833,125,1057,152,1167,218,1250,182,1338,133,790
°æ»ê,106,4380,105,5592,96,5454,118,7606,132,5025,116,5074,78,4411,97,4955,119,6222,120,4760,69,4967
±ºÀ§,101,806,115,877,141,841,98,954,109,935,154,876,92,777,104,852,136,754,145,1010,,
ÀÇ¼º,208,1206,220,1304,252,1299,273,1385,281,1385,266,1400,260,1516,277,1502,292,1357,259,1434,262,1640
Ã»¼Û,143,725,180,672,187,693,155,747,147,769,137,708,139,708,143,748,152,699,120,728,102,598
¿µ¾ç,134,442,92,450,67,391,87,435,55,393,73,421,56,363,83,391,95,386,65,354,50,359
¿µ´ö,109,1057,88,919,98,961,101,1122,72,933,75,1013,79,887,65,817,86,852,60,809,63,818
Ã»µµ,188,1308,248,1661,218,1655,176,1552,176,1536,158,1470,184,1596,147,1523,168,1506,158,1468,135,1425
°í·É,47,1085,94,1065,68,1073,68,1026,72,1010,64,937,78,853,50,885,67,908,68,873,73,1008
¼ºÁÖ,183,1357,168,1440,154,1552,170,1639,154,1425,169,1408,151,1393,142,1384,180,1328,153,1328,115,1167
Ä¥°î,82,6010,71,5824,94,6591,71,5978,109,4901,83,4677,62,4669,62,4522,101,5002,65,4396,45,3731
¿¹Ãµ,197,1016,170,1042,193,992,214,2119,201,2617,198,4118,153,2853,215,2477,223,2203,184,1990,143,1644
ºÀÈ­,185,923,277,1031,201,887,220,948,191,874,151,897,134,823,139,759,152,764,146,845,112,735
¿ïÁø,39,1435,67,1580,76,1686,57,1517,52,1341,61,1363,41,1435,52,1406,50,1396,47,1175,53,1327
¿ï¸ª,19,649,1,567,6,539,10,573,9,648,12,556,6,504,2,443,7,419,16,583,11,531
