연번,의료기관명,소재지,운영시간,진료과목,병상수,전화번호,위도,경도
1,영남대학교의과대학부속 영천병원,경상북도 영천시 오수1길 10(오수동),09:00~17:00,종합병원,200,054-338-9000,35.9572122,128.9130753
2,의료법인동승의료재단 동승병원,경상북도 영천시 동강포길 87(도남동),09:00~18:00,정신건강의학과,299,054-330-7700,35.9329444,128.9296132
3,의료법인고담의료재단 마야병원,경상북도 영천시 북안면 내서로 55-25,09:00~18:00,정신건강의학과,660,054-336-3311,35.9732915,128.9385493
4,의료법인무일의료재단 참좋은요양병원,경상북도 영천시 망정1길 32(망정동),09:00~18:00,내과,148,054-337-5119,35.976337,128.9487942
5,의료법인송학의료재단 효사랑요양병원,경상북도 영천시 금호읍 금호로 484,09:00~18:00,내과,166,054-330-9531,35.9527407,128.9064461
6,영천요양병원,경상북도 영천시 천문로 596-8(오미동),09:00~18:00,내과,262,054-336-3000,35.987562,128.924594
7,의료법인현보의료재단 해오름요양병원,경상북도 영천시 오수1길 21-0(오수동),09:00~18:00,내과,196,054-3357953,35.98759883,128.9248925
8,영천손한방병원,경상북도 영천시 시장로 28(금노동),09:00~18:00,한방과,31,054-334-4771,35.963035,128.933199
9,의료법인자혜의료재단 영천제이병원,경상북도 영천시 호국로 145(망정동),09:00~18:00,산부인과,30,054-331-9966,35.976944,128.95307
10,참사랑 연합의원,경상북도 영천시 금호읍 금호로 129,09:00~18:00,내과,0,054-336-3600,35.932094,128.875741
11,영천중앙이비인후과의원,경상북도 영천시 완산로 53 3층 (완산동),09:00~18:00,이비인후과,0,054-336-7582,35.964841,128.938609
12,별앤빛소아청소년과의원,경상북도 영천시 망정1길 200 1층 (망정동),09:00~18:00,소아청소년과,0,054-335-7788,35.982584,128.95156
13,가톨릭연합정형외과의원,경상북도 영천시 완산로 58 (완산동),09:00~18:00,정형외과,0,054-333-9111,35.965259,128.939212
14,류정신건강의학과의원,경상북도 영천시 완산로 46 3층 (완산동),09:00~18:00,정신건강의학과,0,054-334-5334,35.964124,128.939254
15,강기훈의 당신내과의원,경상북도 영천시 천문로 277 (금노동),09:00~18:00,내과,0,054-331-4747,35.963086,128.933643
16,김건호정형외과의원,경상북도 영천시 완산로 53 1층 (완산동),09:00~18:00,정형외과,0,054-335-0001,35.964841,128.938609
17,상쾌한 이비인후과의원,경상북도 영천시 호국로 95 2층 (야사동),09:00~18:00,이비인후과,0,054-331-1119,35.975224,128.947724
18,이정훈속내과의원,경상북도 영천시 완산로 58 2층 (완산동),09:00~18:00,내과,0,054-334-3113,35.965259,128.939212
19,박건주신경과의원,경상북도 영천시 시장로 59 (완산동),09:00~18:00,정신건강의학과,0,054-332-0017,35.963657,128.93671
20,새영천경대연합정형외과의원,경상북도 영천시 시장로 59 (완산동 진흥빌딩),08:00~20:00,정형외과,19,054-337-7582,35.963657,128.93671
21,중앙연합정형외과의원,경상북도 영천시 시장로 62-1 (완산동),09:00~18:00,정형외과,0,054-336-8975,35.96314,128.937081
22,D편한외과의원,경상북도 영천시 호국로 93 (야사동),09:00~18:00,외과,4,054-335-3349,35.975036,128.947478
23,성삼연합의원,경상북도 영천시 망정1길 15 (망정동),09:00~18:00,가정의학과,0,054-337-0075,35.975654,128.94805
24,영천제일내과의원,경상북도 영천시 완산로 52 (완산동),09:00~18:00,내과,0,054-337-7007,35.964827,128.939207
25,굿모닝정형외과연합의원,경상북도 영천시 금호읍 금호로 78,09:00~18:00,정형외과,29,054-338-8000,35.930557,128.870316
26,영천삼성안과의원,경상북도 영천시 완산로 52 3층 (완산동),09:00~18:00,안과,0,054-338-7582,35.964827,128.939207
27,편한속내과의원,경상북도 영천시 시장로 55 (완산동),09:00~18:00,내과,0,054-333-5203,35.963723,128.936278
28,안심의원,경상북도 영천시 충효로 148 (야사동),09:00~18:00,내과,0,054-331-7582,35.976329,128.944743
29,경대연합비뇨기과의원,경상북도 영천시 완산로 52 4층 (완산동),09:00~18:00,비뇨의학과,0,054-331-9119,35.964827,128.939207
30,영천연합의원,경상북도 영천시 완산로 52 (완산동),09:00~18:00,외과,0,054-338-9884,35.964827,128.939207
31,영천성모안과의원,경상북도 영천시 시장로 59 4층 (완산동),09:00~18:00,안과,0,054-338-7533,35.963657,128.93671
32,완산내과의원,경상북도 영천시 완산3길 12 (완산동),09:00~18:00,내과,0,054-337-7575,35.965275,128.939534
33,심박내과의원,경상북도 영천시 완산로 53 2층 (완산동),09:00~18:00,내과,0,054-337-7737,35.964841,128.938609
34,동산정형외과의원,경상북도 영천시 완산로 70 (완산동),09:00~18:00,정형외과,23,054-334-7585,35.966423,128.939148
35,현대중앙의원,경상북도 영천시 청솔길 23-6 2층 (망정동),09:00~18:00,내과,0,054-332-1117,35.988341,128.955233
36,미산부인과의원,경상북도 영천시 호국로 79-1 (야사동),09:00~18:00,산부인과,0,054-336-3500,35.974524,128.946219
37,하달봉비뇨기과의원,경상북도 영천시 강변로 38 2층 (금노동),09:00~18:00,비뇨의학과,0,054-333-0079,35.96076,128.926732
38,영천연합소아청소년과의원,경상북도 영천시 호국로 93 (야사동),09:00~21:00,소아청소년과,0,054-331-8745,35.975036,128.947478
39,현대연합의원,경상북도 영천시 신녕면 장수로 1673,09:00~18:00,외과,0,054-336-2277,36.040983,128.788056
40,정이비인후과의원,경상북도 영천시 시장로 66-1(완산동),09:00~18:00,이비인후과,0,054-332-9300,35.963599,128.936033
41,권오양정신건강의학과의원,경상북도 영천시 완산로 52 중원메디빌 4층 (완산동),09:00~18:00,정신건강의학과,0,054-332-1235,35.964827,128.939207
42,대동정형외과의원,경상북도 영천시 강변로 51 (금노동),09:00~18:00,정형외과,29,054-337-3119,35.961252,128.9284
43,한국제통마취과의원,경상북도 영천시 완산로 44 (완산동),09:00~18:00,마취통증의학과,0,054-332-8007,35.963989,128.939219
44,영남마취통증의학과의원,경상북도 영천시 시장로 55 2층 (완산동),09:00~18:00,마취통증의학과,0,054-334-6565,35.963723,128.936278
45,이동준내과의원,경상북도 영천시 동부로 31-16 (야사동),09:00~18:00,내과,0,054-338-1220,35.973107,128.947588
46,조가정의학과의원,경상북도 영천시 동부로 35 (야사동),09:00~18:00,가정의학과,0,054-331-2722,35.973399,128.948301
47,신령의원,경상북도 영천시 신녕면 장수로 1679,09:00~18:00,내과,0,054-335-9155,36.041551,128.787984
48,금호의원,경상북도 영천시 금호읍 교대길 14,09:00~18:00,외과,0,054-336-7117,35.932392,128.871954
49,경북신경외과의원,경상북도 영천시 최무선로 355 (문외동),09:00~18:00,신경외과,0,054-331-9191,35.970429,128.937333
